ticker,bench,events_total,events_pre_total,events_intra_total,events_post_total,blue_any_rate,blue_hard_rate,blue_soft_rate,ark_any_rate,ark_hard_rate,ark_soft_rate,print_any_rate,print_hard_rate,print_soft_rate,open_any_rate,open_hard_rate,open_soft_rate,global_any_rate,global_hard_rate,global_soft_rate,intra_any_rate,intra_hard_rate,intra_soft_rate,post_any_rate,post_hard_rate,post_soft_rate,corr,beta,sigma
HSY,IWM,87,37,50,0,0.0,0.0,0.0,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.02702702702702703,0.35135135135135137,0.2972972972972973,0.05405405405405406,0.35135135135135137,0.2702702702702703,0.08108108108108109,0.0,0.0,0.0,,,,-0.04,0.11,0.74
HTFL,SPY,72,41,31,0,0.0,0.0,0.0,0.24390243902439024,0.07317073170731707,0.17073170731707318,0.5609756097560976,0.12195121951219512,0.43902439024390244,0.6829268292682927,0.07317073170731707,0.6097560975609756,0.7804878048780488,0.17073170731707318,0.6097560975609756,0.0,0.0,0.0,,,,0.68,2.43,1.37
HTGC,SPY,106,55,51,0,0.09090909090909091,0.0,0.09090909090909091,0.4727272727272727,0.16363636363636364,0.3090909090909091,0.43636363636363634,0.12727272727272726,0.3090909090909091,0.6,0.32727272727272727,0.2727272727272727,0.7090909090909091,0.2909090909090909,0.41818181818181815,0.0,0.0,0.0,,,,0.81,0.65,0.4
HTHT,IWM,97,49,48,0,0.04081632653061224,0.02040816326530612,0.02040816326530612,0.3469387755102041,0.12244897959183673,0.22448979591836735,0.2653061224489796,0.08163265306122448,0.1836734693877551,0.40816326530612246,0.22448979591836735,0.1836734693877551,0.6122448979591837,0.22448979591836735,0.3877551020408163,0.0,0.0,0.0,,,,0.66,1.08,1.09
HTO,XLE,31,5,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,,,,-0.13,-0.07,0.63
HUBB,IWM,55,13,42,0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.46153846153846156,0.3076923076923077,0.15384615384615385,0.0,0.0,0.0,,,,0.91,1.01,0.79
HUBG,SPY,51,11,40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,,,,0.56,0.88,0.85
HUBS,SPY,81,35,46,0,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.2857142857142857,0.22857142857142856,0.05714285714285714,0.22857142857142856,0.08571428571428572,0.14285714285714285,0.6857142857142857,0.5142857142857142,0.17142857142857143,0.8,0.5428571428571428,0.2571428571428571,0.0,0.0,0.0,,,,0.76,1.37,1.9
HUM,IWM,77,34,43,0,0.0,0.0,0.0,0.14705882352941177,0.08823529411764706,0.058823529411764705,0.08823529411764706,0.029411764705882353,0.058823529411764705,0.38235294117647056,0.2647058823529412,0.11764705882352941,0.38235294117647056,0.2647058823529412,0.11764705882352941,0.0,0.0,0.0,,,,0.16,0.0,1.15
HUMN,SPY,38,24,14,0,0.0,0.0,0.0,0.3333333333333333,0.041666666666666664,0.2916666666666667,0.4166666666666667,0.0,0.4166666666666667,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.041666666666666664,0.5416666666666666,0.0,0.0,0.0,,,,0.88,3.01,1.3
