ticker,open_glob_total,open_glob_up_rate,open_glob_down_rate,open_glob_mean_move,open_glob_median_move,open_5m_total,open_5m_up_rate,open_5m_down_rate,open_5m_mean_move,open_5m_median_move,open_10m_total,open_10m_up_rate,open_10m_down_rate,open_10m_mean_move,open_10m_median_move,open_15m_total,open_15m_up_rate,open_15m_down_rate,open_15m_mean_move,open_15m_median_move,open_20m_total,open_20m_up_rate,open_20m_down_rate,open_20m_mean_move,open_20m_median_move,open_30m_total,open_30m_up_rate,open_30m_down_rate,open_30m_mean_move,open_30m_median_move
OR,54.0,0.4444444444444444,0.5555555555555556,-0.2345665778155471,-0.4394792689795479,46.0,0.5,0.5,0.01849285136782203,0.0021221292695161598,47.0,0.44680851063829785,0.5531914893617021,-0.17212251408553453,-0.3445145445039044,52.0,0.4807692307692308,0.5192307692307693,-0.09694985631210971,-0.3291636070323234,51.0,0.43137254901960786,0.5686274509803921,-0.16796606982574105,-0.40140452825421225,54.0,0.4444444444444444,0.5555555555555556,-0.2345665778155471,-0.4394792689795479
ORA,33.0,0.5454545454545454,0.45454545454545453,0.08127571704042183,0.49047363951824074,36.0,0.5,0.5,0.05050619589674467,-0.011100776123162959,39.0,0.5384615384615384,0.46153846153846156,0.06356735483855169,0.32757106947518544,42.0,0.47619047619047616,0.5238095238095238,-0.0708183311117116,-0.32019747828805345,40.0,0.525,0.475,0.10875206662909447,0.3597268939268927,33.0,0.5454545454545454,0.45454545454545453,0.08127571704042183,0.49047363951824074
ORCL,57.0,0.3684210526315789,0.631578947368421,-0.6041169252651098,-0.7339803454945337,46.0,0.30434782608695654,0.6956521739130435,-0.5586987595233238,-0.5387426402178819,55.0,0.34545454545454546,0.6545454545454545,-0.5033590391848847,-0.5215414222120685,55.0,0.32727272727272727,0.6727272727272727,-0.4920503006089004,-0.5265497528346264,57.0,0.3508771929824561,0.6491228070175439,-0.5550409272116044,-0.6587549559927686,57.0,0.3684210526315789,0.631578947368421,-0.6041169252651098,-0.7339803454945337
ORCX,55.0,0.34545454545454546,0.6545454545454545,-1.3750439978310574,-1.6202911431967504,57.0,0.3157894736842105,0.6842105263157895,-1.0380259009569002,-0.9566362837064246,57.0,0.3333333333333333,0.6666666666666666,-1.092613908619497,-1.052635594418172,59.0,0.3389830508474576,0.6610169491525424,-1.0426859434211029,-0.9450488647102961,59.0,0.3389830508474576,0.6610169491525424,-1.184126569474385,-0.9124894862452604,55.0,0.34545454545454546,0.6545454545454545,-1.3750439978310574,-1.6202911431967504
ORI,39.0,0.6410256410256411,0.358974358974359,0.1361882712029454,0.45426981024585533,26.0,0.6538461538461539,0.34615384615384615,0.15972954589144048,0.4858471941604825,34.0,0.6470588235294118,0.35294117647058826,0.03314280455708999,0.3679421359753743,31.0,0.6774193548387096,0.3225806451612903,0.09551713200103787,0.4168698665916182,29.0,0.7241379310344828,0.27586206896551724,0.15379110075276525,0.41004483423072724,39.0,0.6410256410256411,0.358974358974359,0.1361882712029454,0.45426981024585533
ORKA,30.0,0.36666666666666664,0.6333333333333333,-0.6819570995604696,-1.0727137903472905,33.0,0.3939393939393939,0.6060606060606061,-0.4929360995737079,-0.5876632653528224,45.0,0.4222222222222222,0.5777777777777777,-0.43405763865279434,-0.461834296372865,50.0,0.3,0.7,-0.6930453289145909,-0.9525859295761496,45.0,0.4666666666666667,0.5333333333333333,-0.2916398791087745,-0.5545786223508542,30.0,0.36666666666666664,0.6333333333333333,-0.6819570995604696,-1.0727137903472905
ORLA,61.0,0.45901639344262296,0.5409836065573771,-0.049597817859998075,-0.47566371039255984,56.0,0.48214285714285715,0.5178571428571429,-0.13588317773113304,-0.354113406197093,57.0,0.43859649122807015,0.5614035087719298,-0.14080070377959245,-0.6722682879878539,57.0,0.47368421052631576,0.5263157894736842,-0.028055427560393656,-0.51334899291402,56.0,0.4107142857142857,0.5892857142857143,-0.14091127530127515,-0.5918118262172978,61.0,0.45901639344262296,0.5409836065573771,-0.049597817859998075,-0.47566371039255984
ORLY,44.0,0.5454545454545454,0.45454545454545453,-0.009413680305217498,0.35762871214848335,35.0,0.5142857142857142,0.4857142857142857,0.03615445110608327,0.3478602935381714,40.0,0.55,0.45,0.05563458520802922,0.30902747579251155,42.0,0.5714285714285714,0.42857142857142855,0.05556062842786532,0.41433292587457204,42.0,0.5476190476190477,0.4523809523809524,0.013460763231309958,0.3211633640121003,44.0,0.5454545454545454,0.45454545454545453,-0.009413680305217498,0.35762871214848335
ORRF,22.0,0.4090909090909091,0.5909090909090909,-0.36954249366136177,-0.42888750848854573,24.0,0.25,0.75,-0.5581758585239954,-0.530117040445971,30.0,0.23333333333333334,0.7666666666666667,-0.5095072391679512,-0.589972725478416,31.0,0.3870967741935484,0.6129032258064516,-0.32244435986141506,-0.44248235730726115,32.0,0.375,0.625,-0.47785562693452055,-0.5494336254836252,22.0,0.4090909090909091,0.5909090909090909,-0.36954249366136177,-0.42888750848854573
OS,49.0,0.42857142857142855,0.5714285714285714,-0.556908433221067,-0.5205734522457206,47.0,0.40425531914893614,0.5957446808510638,-0.22007570181433686,-0.44749181680335814,48.0,0.375,0.625,-0.432128784635004,-0.6337957189870569,49.0,0.3469387755102041,0.6530612244897959,-0.5059807095826208,-0.618834424243031,52.0,0.36538461538461536,0.6346153846153846,-0.6249782955370288,-0.5918165958103794,49.0,0.42857142857142855,0.5714285714285714,-0.556908433221067,-0.5205734522457206
